Name,Location,Hours
Transamerica Redwood Park,600 Montgomery St.,Mon - Fri 7am - 5:30pm
Empire Park,648 Commercial St.,Mon - Fri 7am - 5:30pm
Embarcadero Center,400-492 Commercial St.,Not specified
343 Sansome,343 Sansome St.,Mon - Fri 10am - 5pm
555 California,555 California St.,Open at all times
150 California,150 California St.,Mon - Fri 9am - 6pm
101 California,101 California St.,Open at all times
100 Pine,100 Pine St.,10am - 6pm
One Bush Plaza,1 Bush St.,Open at all times
Citigroup Center,1 Sansome St.,Open during business hours
Crocker Galleria,50 Post St.,Mon - Sat 10am - 6pm
Market Center,555â€“575 Market St.,Not specified
One Kearny,23 Geary St.,Mon - Fri 10am - 5pm
456 Montgomery,456 Montgomery St.,Not specified
425 Market,425 Market St.,Open at all times
50 Beale,50 Beale St.,Open at all times
201 Mission,201 Mission St.,Open at all times
123 Mission,123 Mission St.,Open at all times
135 Main,135 Main St.,Open during office hours
100 First,100 First St.,Open during daylight hours
Ecker Square,25 Jessie St.,Open at all times
55 Second,55 2nd St.,Mon - Fri 8am - 6pm
560 Mission,560 Mission St.,Open at all times
555 Mission,555 Mission St.,Open at all times
101 Second,101 2nd St.,Mon - Fri 8am - 6pm
Marathon Plaza,303 2nd St.,Open at all times
Millennium Tower Atrium,301 Mission St.,8am - 6pm
222 Second,222 2nd St.,Mon - Fri 8am - 6pm
Sky Terrace,825 Market St.,Open during business hours
543 Howard,543 Howard St.,Mon - Fri 8am - 5pm
14 Fremont,14 Fremont St.,Open at all times
Foundry Square I,400 Howard St.,Open at all times
Foundry Square II,405 Howard St.,Open at all times
Foundry Square III,505 Howard St.,Plaza is open at all times. Indoor Park Mon - Fri 8am - 6pm
Foundry Square IV,500 Howard St.,Open at all times
160 Spear,160 Spear St.,Open at all times
201 Spear,201 Spear St.,Open at all times
2 Folsom,2 Folsom St.,Open at all times
235 Main,235 Main St.,Mon - Fri 8am - 6pm
The Clancy,299 2nd St.,Outdoor public sitting area is open at all times. Indoor garden Mon - Fri 8am - 6pm
Shaw Alley,535 Mission St.,Mon - Fri 8am - 6pm
Golden Gate University,536 Mission St.,Open at all times
71 Stevenson,71 Stevenson St.,Open at all times
49 Stevenson,49 Stevenson St.,Open at all times
611 Folsom,611 Folsom St.,Open at all times
